District,Party,Name,memberid,year,networth,income,Female,Race,Years in Military,Religion,Occupation,Marital Status,Highest Degree,Birth Year,Year First Elected ,Speaker,Majority Leader,Minority Leader,Appropriation,Finance & Tax,Rules,Agriculture,Education,Health,Judiciary,Vote Share
1,R,"Ingram, Clay",4493,2015,87291.85,154697,0,White,0,Christian-Methodist,"Teacher, Real Estate",Married,BS,1978,2011,0,0,0,1,0,0,0,1,0,0,0.689
2,R,"Hill, Walter Bryan ""Mike""",4595,2015,1203815,411062.79,0,Black,10,Christian,State Farm Insurance Agent,Married,MBA,1958,2014,0,0,0,0,1,1,0,0,0,0,0.653
3,R,"Broxson, Doug",4491,2015,3402902,131050.74,0,White,0,Assembly of God,Insurance,Married,BS,1949,2011,0,0,0,0,0,0,1,0,0,0,0.999
4,R,"Gaetz, Matt",4478,2015,387725,70171,0,White,0,Baptist,Attorney,Not Married,JD,1982,2011,0,0,0,0,2,0,0,0,0,0,1
5,R,"Drake, Brad",4436,2015,166884.17,69799,0,White,0,Baptist,Marketing Executive,Not Married,BS,1975,2009,0,0,0,0,0,0,0,0,0,0,0.764
6,R,"Trumbull, Jay",4600,2015,362224.94,83647,0,White,0,Methodist,Small Business Owner,Married,BS,1989,2015,0,0,0,0,1,0,1,0,1,0,0.689
7,R,"Beshears, Halsey",4539,2015,365311,108934,0,White,0,Presbyterian,Small Business Owner,Married,MS,1971,2013,0,0,0,0,0,0,0,0,0,0,
8,D,"Williams, Alan B.",4437,2015,552894.05,53687,0,Black,0,Baptist,Marketing and Business Consultant,Married,MBA,1975,2009,0,0,0,1,0,0,0,1,0,0,0.995
9,N,"Rehwinkel Vasilinda, Michelle",4464,2015,1576334.95,231266.97,1,White,0,Catholic,Attorney/College Professor,Married,JD,1977,2009,0,0,0,0,0,0,0,1,0,1,
10,R,"Porter, Elizabeth W.",4494,2015,118600,29000,1,White,0,Christian,Medical Billing and Consulting,Married,BS,1964,2011,0,0,0,1,0,0,0,1,0,0,0.983
11,R,"Adkins, Janet H.",4439,2015,561976,29697,1,White,0,Baptist,Full-time Lawmaker,Married,MBA,1965,2009,0,0,0,1,0,1,0,1,0,0,0.741
12,R,"Ray, Lake",4441,2015,691000,110000,0,White,0,Methodist,President of First Coast Manufacturers Association,Married,BS,1956,2009,0,0,0,0,0,1,0,0,0,0,0.719
13,D,"Fullwood, Reggie",4496,2015,318910,89537.76,0,Black,0,Baptist,Nonprofit President/Consultant,Married,BS,1975,2011,0,0,0,0,0,0,0,1,0,0,
14,D,"Jones, Mia L.",4440,2015,66304.46,59035.25,1,Black,0,Baptist,Special Assistant to Mayor Alvin Brown,Married,MBA,1968,2009,0,0,0,1,0,0,0,0,1,0,
15,R,"Fant, Jay",4601,2015,2317000,29697,0,White,0,Presbyterian,Chariman of a Corporation,Married,JD,1968,2015,0,0,0,0,1,0,0,0,0,1,0.999
16,R,"McBurney, Charles",4418,2015,906414,36500,0,White,0,Presbyterian,Business Attorney,Married,JD,1957,2008,0,0,0,1,0,1,0,0,0,2,0.999
17,R,"Renuart, Ronald ""Doc""",4442,2015,,,0,White,0,Catholic,Osteopathic Physician,Married,DO,1964,2009,0,0,0,0,0,0,0,0,1,0,0.736
17,R,"Stevenson, Cyndi",4620,2015,2127279,26677,1,White,0,Christian,CPA,Married,BBA,,2016,0,0,0,0,0,0,0,0,0,0,
18,R,"Cummings, W. Travis",4540,2015,1964997.11,616322,0,White,0,Christian,Business Owner-Insurance & Employee Benefits,Married,MBA,1972,2013,0,0,0,0,0,0,1,0,1,0,0.814
19,R,"Van Zant, Charles E.",4444,2015,651727,60524,0,White,0,Baptist,Architect,Married,ThD,1943,2009,0,0,0,0,1,0,0,0,0,0,
20,D,"Watson Jr., Clovis",4541,2015,1599300,117697,0,Black,0,Christian,Retired City Manager,Not Married,MBA,1958,2013,0,0,0,0,0,1,1,0,0,0,
21,R,"Perry, W. Keith",4497,2015,5131880.62,120166.21,0,White,0,Christian,Contractor,Married,High School Diploma,1958,2011,0,0,0,0,0,0,0,1,0,0,0.582
22,R,"Stone, Charlie",4537,2015,3416260,340754,0,White,0,Christian,Business Owner-Insurance & Employee Benefits,Married,High School Diploma,1948,2013,0,0,0,0,0,0,0,0,0,1,
23,R,"Baxley, Dennis K.",4200,2015,3118662,340238,0,White,0,Southern Baptist,Funeral Director & Consultant,Married,BS,1952,2001,0,0,0,0,0,1,0,0,0,0,
24,R,"Hutson, Travis",4542,2015,,,0,White,0,N/A,Hutson Companies Charitable Trusts,Married,BS,1984,2013,0,0,0,0,0,0,0,0,0,0,
24,R,"Renner, Paul",4619,2015,425132,163777,0,White,0,Christian,Attorney,Married,JD,1967,2015,0,0,0,0,0,0,1,0,1,0,
25,R,"Costello, Fred",4499,2015,2585285,224089,0,White,4,Christian,Dentist,Married,DDS,1950,2011,0,0,0,0,0,1,0,0,1,0,0.594
26,D,"Taylor, Dwayne L.",4445,2015,52000,51646,0,Black,0,N/A,Writer/Producer,Married,MPA,1967,2009,0,0,0,0,0,0,0,0,0,0,0.526
27,R,"Santiago, David",4544,2015,332912.54,133728,0,Hispanic,9,Roman Catholic,Financial Manager,Married,High School Diploma,1970,2013,0,0,0,0,0,0,0,0,0,0,0.577
28,R,"Brodeur, Jason T.",4501,2015,278745.67,124270.63,0,White,0,Christian,President/CEO of Regional Chamber of Commerce,Married,MBA,1975,2011,0,0,0,0,1,0,0,0,2,0,0.683
29,R,"Plakon, Scott",4430,2015,3726240,391646,0,White,0,Christian,Business Owner,Married,BS,1959,2009,0,0,0,0,1,0,0,0,0,1,0.568
30,R,"Cortes, Robert ""Bob""",4598,2015,611536,98196,0,Hispanic,0,Catholic,Business Owner,Married,BS,1963,2015,0,0,0,0,1,0,0,0,0,0,0.514
31,R,"Sullivan, Jennifer Mae",4602,2015,12601,29697,1,White,0,Christian,Student,Not Married,AA,1991,2015,0,0,0,0,1,0,0,0,0,0,
32,R,"Metz, Larry",4498,2015,770006,190537,0,White,0,Presbyterian,Attorney,Married,JD,1955,2011,0,0,0,1,0,0,0,0,0,1,
33,R,"O'Toole, H. Marlene",4462,2015,579128,159296,1,White,0,Catholic,"Retired IBM Executive; Take Stock in Children, Operations Manager",Married,High School Diploma,1945,2009,0,0,0,1,0,1,0,2,0,0,
34,R,"Smith, Jimmie T.",4502,2015,-30241,89805,0,White,20,Christian,"US Army, Retired",Married,G.E.D,1965,2011,0,0,0,0,0,0,0,0,0,0,
35,R,"Ingoglia, Blaise",4603,2015,4237073,213408,0,White,0,Christian,Homebuilder,Married,High School Diploma,1970,2015,0,0,0,0,0,0,0,0,0,0,0.512
