"","year","district","college","postgrad","birth","age","legal","business","management","yrsmilitary","protestant","catholic","white","black","hispanic","marryyes","yrselect","privatepost","publicpost","highpost","lowpost","gdp01","yrsparty","taxreturn","numberofjobs","leadership","chair","rules","approp","fintax","agriculture","judiciary","education","health","effectivescore","deltajobs","speaker","majld","majpty","ethicsviol","ethicscmte","board","binboard","female","aide","council","mayor","commish","applocal","appstate","locparty","statparty","prelect","prapp","prparty","tenure","prexp","memberid","votemarg"
"1",1991,7,1,1,1929,62,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,750489.421553147,0,0,-0.916928566367389,0,0,1,0,0,0,1,0,0,0.739184969840447,-0.608624359396608,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,2575,1
"2",1992,7,1,1,1929,63,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,814404.333885626,0,0,3.10520429194201,0,0,1,0,0,0,1,0,0,0.162509558150217,-1.15820369386701,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,2575,1
"3",1993,5,1,1,1929,64,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,874785.500144997,0,0,4.9709181595938,0,0,1,0,0,0,1,0,0,0.461285732103362,1.95887750032353,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,2575,1
"4",1994,5,1,1,1929,65,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,745316.52829325,0,0,3.65243444277985,0,0,1,0,0,0,1,0,0,1.63135567922264,-0.224965709482017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2575,1
"5",1991,65,1,0,1934,57,1,0,0,3,0,1,0,0,1,1,0,0,1,0,1,785170.76394664,0,0,6.18679602311527,0,0,0,0,0,0,0,0,0,1.04942534135591,1.17091580567102,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,25,1,2729,0.561188995838165
"6",1992,65,1,0,1934,58,1,0,0,3,0,1,0,0,1,1,0,0,1,0,1,698341.693185412,0,0,3.5970853440588,0,0,1,0,0,0,0,0,0,0.894963398037911,1.20852184376489,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,26,1,2729,0.561188995838165
"7",1993,58,1,0,1934,59,1,0,0,3,0,1,0,0,1,1,0,0,1,0,1,810866.364957394,0,0,-0.318177235390759,0,0,0,0,0,0,0,0,0,1.28316982021855,0.930968350093082,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,27,1,2729,0.734706997871399
"8",1994,58,1,0,1934,60,1,0,0,3,0,1,0,0,1,0,0,0,1,0,1,761615.885011431,0,0,1.83821445191466,0,0,0,1,0,0,0,0,0,0.761658660336689,0.524579650859011,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,28,1,2729,0.734706997871399
"9",1995,58,1,0,1934,61,1,0,0,3,0,1,0,0,1,1,0,0,1,0,1,639719.75,0,0,2,0,0,0,1,1,0,0,0,0,0.684970545748085,0.387366167920197,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,29,1,2729,0.563326001167297
"10",1996,58,1,0,1934,62,1,0,0,3,0,1,0,0,1,1,0,0,1,0,1,661112.3125,0,0,2.98326887764739,0,0,0,0,0,0,0,0,0,1.94590280851046,-1.5633138408676,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,30,1,2729,0.563326001167297
"11",1997,58,1,0,1934,63,1,0,0,3,0,1,0,0,1,1,0,0,1,0,1,702990.5,0,0,2.10456542203994,0,0,0,0,0,0,0,0,0,0.124009151124187,-0.55301012842593,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,31,1,2729,0.61931300163269
"12",1995,4,1,0,1929,66,0,0,1,1.4794521538401,1,0,1,0,0,1,0,0,1,1,0,639719.75,0,0,5,0,0,1,1,0,0,1,0,0,0.829905400032126,1.18395246959043,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,27,1,2786,0.603205025196075
"13",1996,4,1,0,1929,67,0,0,1,1.2880783603627,1,0,1,0,0,1,0,0,1,1,0,661112.3125,0,0,7,0,0,1,0,0,0,1,0,0,0.2110743159888,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,28,1,2786,0.603205025196075
"14",1997,4,1,0,1929,68,0,0,1,4.814124812957,1,0,1,0,0,1,0,0,1,1,0,702990.5,0,0,7,0,0,0,0,0,0,0,0,0,0.384642770308138,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,29,1,2786,0.776337027549744
"15",1998,4,1,0,1929,69,0,0,1,0.11608720175079,1,0,1,0,0,1,0,0,1,1,0,760791.1875,0,0,7,0,0,0,0,0,0,0,0,0,1.36023894618911,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,30,1,2786,0.776337027549744
"16",1999,4,1,0,1929,70,0,0,1,0.426778512723162,1,0,1,0,0,1,0,0,1,1,0,795146.3125,0,0,7,0,0,0,0,0,0,0,0,0,3.27494471057057,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,31,1,2786,1
"17",2000,4,1,0,1929,71,0,0,1,-6.9631235999741,1,0,1,0,0,1,0,0,1,1,0,796050.75,0,0,7,0,0,0,0,0,0,0,0,0,0.317214652156485,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,32,1,2786,1
"18",2001,4,1,0,1929,72,0,0,1,-2.21074736765884,1,0,1,0,0,1,0,0,1,1,0,704674.483927885,0,0,5,0,0,0,0,0,0,1,0,0,0.60213040039208,-2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,33,1,2786,1
"19",2002,4,1,0,1929,73,0,0,1,-0.577087963648326,1,0,1,0,0,1,0,0,1,1,0,541898.4375,0,0,1.32270833121108,0,0,0,0,0,0,0,0,0,1.0936603323905,-1.66413591935993,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,34,1,2786,1
"20",1991,1,1,0,1931,60,0,0,0,3,1,0,1,0,0,1,0,1,0,0,0,866718.152924819,0,0,1.64349271268573,0,0,0,0,1,0,0,0,1,1.55458778266143,1.62529634444113,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,23,1,2791,0.540913999080658
"21",1992,1,1,0,1931,61,0,0,0,3,1,0,1,0,0,1,0,1,0,0,0,822079.512437089,0,0,5.79098684723311,0,0,0,1,1,0,0,0,1,0.812429989850487,-2.06666867640183,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,1,2791,0.540913999080658
"22",1991,42,1,0,1930,61,0,0,0,3,1,0,1,0,0,1,2,1,0,0,0,772559.601075143,0,0,2.84211458834006,0,0,1,1,0,0,0,0,1,0.655111283319672,0.869391137978323,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,21,1,2808,1
